genre,rating,watched
"Action, Comedy, Drama",8.5,0
"Biography, Drama, History",8.7,0
"Crime, Drama",8.9,0
"Drama, Horror, Mystery",5.9,0
"Animation, Action, Adventure",8.6,0
"Drama, Fantasy, Horror",7.8,0
"Animation, Adventure, Comedy",9.2,0
"Crime, Drama, Thriller",9.5,0
"Action, Adventure, Drama",6.3,0
"Biography, Drama, Mystery",6.2,0
"Drama, Fantasy, Horror",8.7,0
"Action, Crime, Drama",4.7,0
"Drama, Horror, Thriller",8.1,0
"Crime, Drama, Mystery",8.1,0
Comedy,6.4,0
Thriller,6.1,0
"Drama, Romance, Sport",5.8,0
"Drama, History, Horror",9.6,0
"Crime, Drama",8.8,0
"Action, Adventure, Drama",6.9,0
"Action, Adventure, Drama",8.8,0
"Drama, Romance",7.6,0
"Drama, Fantasy, Horror",8.4,0
"Drama, Horror, Sci-Fi",8.0,0
"Action, Biography, Crime",7.4,0
"Action, Crime, Drama",7.8,0
"Comedy, Romance",8.9,0
"Comedy, Drama",8.6,0
"Comedy, Drama, Romance",8.5,0
"Crime, Drama, Thriller",8.5,0
"Drama, Mystery, Thriller",5.9,0
"Action, Thriller",6.5,0
Comedy,5.0,0
"Comedy, Drama",8.5,0
"Action, Adventure, Drama",8.5,0
"Action, Adventure, Drama",8.2,0
"Crime, Drama, Mystery",8.0,0
Comedy,8.9,0
"Crime, Drama, Fantasy",8.1,0
"Action, Adventure, Comedy",7.9,0
"Action, Drama, History",8.5,0
Drama,6.8,0
"Comedy, Romance",5.3,0
"Drama, Mystery, Sci-Fi",8.8,0
"Comedy, Crime",8.4,0
"Action, Drama, Mystery",8.0,0
"Comedy, Drama",8.2,0
"Drama, Fantasy, Romance",8.4,0
"Crime, Drama, Mystery",8.0,0
"Comedy, Drama",7.9,0
"Animation, Action, Adventure",9.0,0
"Drama, Mystery, Sci-Fi",7.1,0
"Drama, Fantasy, Horror",7.3,0
"Action, Comedy, Fantasy",6.1,0
"Crime, Drama, Mystery",8.7,0
"Animation, Drama, Family",,0
"Comedy, Drama",8.4,0
"Action, Adventure, Drama",9.0,0
"Drama, Fantasy, Horror",7.7,0
"Drama, Romance",7.4,0
"Animation, Comedy",8.2,0
"Crime, Drama, Thriller",8.9,0
"Crime, Drama",8.2,0
Drama,6.3,0
"Comedy, Romance",8.3,0
"Action, Drama, Fantasy",,0
"Drama, Romance",7.6,0
"Comedy, Family, Fantasy",,0
Comedy,8.5,0
"Action, Crime, Drama",8.6,0
"Crime, Drama, Mystery",7.7,0
"Animation, Short, Action",8.2,0
"Crime, Drama, Thriller",6.5,0
Comedy,8.5,0
"Animation, Adventure, Comedy",7.4,0
"Action, Drama",8.0,0
"Animation, Action, Adventure",9.0,0
"Documentary, Crime",6.1,0
"Action, Adventure, Drama",8.8,0
"Action, Drama, War",8.3,0
Horror,,0
"Crime, Drama, Horror",7.6,0
"Adventure, Fantasy",7.8,0
"Action, Crime, Drama",7.5,0
"Crime, Drama, Mystery",6.6,0
"Crime, Drama, Thriller",8.6,0
Drama,8.7,0
"Action, Adventure, Drama",7.6,0
"Animation, Action, Comedy",8.6,0
"Biography, Crime, Drama",8.5,0
"Crime, Drama, Thriller",8.6,0
"Comedy, Drama, Romance",8.1,0
"Crime, Drama, Romance",7.7,0
"Comedy, Drama, Romance",6.3,0
"Drama, Romance",3.3,0
"Comedy, Drama, Music",6.6,0
"Drama, Romance",7.9,0
"Drama, History, Romance",7.3,0
"Crime, Drama, Mystery",9.1,0
"Crime, Drama, Mystery",8.7,0
"Comedy, Romance",7.7,0
"Drama, Mystery, Sci-Fi",8.5,0
"Drama, Music, Romance",6.7,0
"Action, Comedy, Crime",7.8,0
Drama,8.1,0
"Drama, Romance",8.7,0
Drama,8.9,0
"Action, Adventure, Drama",7.5,0
"Action, Adventure, Sci-Fi",8.7,0
"Animation, Comedy, Drama",8.8,0
"Animation, Short, Action",8.4,0
"Action, Crime, Drama",8.2,0
"Comedy, Crime, Drama",8.1,0
"Action, Adventure, Sci-Fi",8.2,0
"Action, Crime, Drama",8.3,0
Drama,8.4,0
"Adventure, Fantasy, Romance",7.7,0
"Action, Adventure, Crime",7.6,0
"Drama, Mystery, Sci-Fi",7.6,0
"Adventure, Thriller",8.1,0
Drama,5.8,0
"Animation, Comedy",8.7,0
"Action, Adventure, Biography",8.5,0
"Comedy, Romance",6.9,0
"Drama, Family",7.5,0
"Animation, Action, Adventure",8.7,0
Drama,8.6,0
"Drama, Mystery, Romance",7.4,0
"Crime, Drama, Mystery",8.6,0
"Crime, Drama, Mystery",7.1,0
"Drama, Horror, Mystery",7.6,0
